Symptom Description,Disease
"vomiting, headache, chills, fever, nausea, sweating",Malaria
"headache, fever, sweating, chills",Malaria
"congestion, mild fever, sore throat, runny nose, cough",Common Cold
"chest pain, fever, fatigue, cough, shortness of breath",Pneumonia
"muscle aches, cough, chills",Flu
"headache, nausea, sensitivity to light, vomiting, sensitivity to sound",Migraine
"chest tightness, shortness of breath, coughing, wheezing",Asthma
"frequent urination, increased thirst, blurred vision, fatigue",Diabetes
"cough, shortness of breath, fatigue, fever",Pneumonia
"chest tightness, coughing, wheezing",Asthma
"nosebleeds, headache, shortness of breath, dizziness",Hypertension
"persistent sadness, fatigue, insomnia",Depression
"fever, coughing, night sweats",Tuberculosis
"difficulty concentrating, restlessness, nervousness, increased heart rate",Anxiety
"persistent sadness, fatigue, changes in appetite, loss of interest, insomnia",Depression
"shortness of breath, headache, dizziness",Hypertension
"nosebleeds, dizziness, headache, shortness of breath",Hypertension
"coughing, weight loss, fever",Tuberculosis
"fatigue, chest pain, fever, cough",Pneumonia
"wheezing, coughing, shortness of breath, chest tightness",Asthma
"fever, shortness of breath, fatigue, cough",Pneumonia
"rash, fever, fatigue, itching, loss of appetite",Chickenpox
"dizziness, shortness of breath, nosebleeds",Hypertension
"chills, headache, vomiting, fever, nausea",Malaria
"fatigue, slight fever, cough",Bronchitis
"nosebleeds, dizziness, headache, shortness of breath",Hypertension
"congestion, sneezing, mild fever, cough",Common Cold
"persistent sadness, changes in appetite, loss of interest",Depression
"itchy eyes, sneezing, congestion",Allergy
"loss of appetite, rash, itching, fatigue",Chickenpox
"loss of smell, loss of taste, tiredness",COVID-19
"sore throat, runny nose, congestion, cough, mild fever, sneezing",Common Cold
"sore throat, runny nose, sneezing",Common Cold
"frequent urination, increased thirst, blurred vision, weight loss",Diabetes
"nausea, sensitivity to light, vomiting, headache, sensitivity to sound",Migraine
"nosebleeds, shortness of breath, dizziness, headache",Hypertension
"headache, shortness of breath, dizziness",Hypertension
"vomiting, nausea, sensitivity to light, sensitivity to sound",Migraine
"fatigue, mucus, cough, shortness of breath, slight fever",Bronchitis
"weight loss, coughing, fatigue, fever, night sweats",Tuberculosis
"fatigue, coughing, fever",Tuberculosis
"changes in appetite, fatigue, loss of interest, persistent sadness",Depression
"increased thirst, fatigue, frequent urination",Diabetes
"cough, mild fever, sore throat, congestion, runny nose, sneezing",Common Cold
"persistent sadness, fatigue, changes in appetite, loss of interest",Depression
"shortness of breath, headache, nosebleeds, dizziness",Hypertension
"fever, headache, fatigue, cough",Flu
"fever, coughing, fatigue, weight loss",Tuberculosis
"persistent sadness, insomnia, fatigue, loss of interest",Depression
"nosebleeds, shortness of breath, dizziness, headache",Hypertension
"chest tightness, wheezing, coughing",Asthma
"rash, fever, itching, fatigue, loss of appetite",Chickenpox
"increased thirst, weight loss, blurred vision, frequent urination, fatigue",Diabetes
"coughing, chest tightness, wheezing, shortness of breath",Asthma
"rash, runny nose, itchy eyes, sneezing",Allergy
"fatigue, night sweats, coughing, weight loss",Tuberculosis
"fatigue, changes in appetite, persistent sadness",Depression
"fatigue, blurred vision, frequent urination, increased thirst, weight loss",Diabetes
"runny nose, sore throat, mild fever, congestion, cough, sneezing",Common Cold
"fatigue, weight loss, fever",Tuberculosis
"night sweats, coughing, weight loss",Tuberculosis
"tiredness, loss of taste, loss of smell, fever",COVID-19
"insomnia, persistent sadness, fatigue, loss of interest, changes in appetite",Depression
"wheezing, shortness of breath, coughing, chest tightness",Asthma
"chest tightness, wheezing, shortness of breath, coughing",Asthma
"runny nose, rash, itchy eyes, congestion, sneezing",Allergy
"blurred vision, weight loss, increased thirst, fatigue",Diabetes
"increased heart rate, sweating, difficulty concentrating",Anxiety
"tiredness, loss of taste, dry cough",COVID-19
"wheezing, coughing, shortness of breath, chest tightness",Asthma
"runny nose, mild fever, sneezing, sore throat",Common Cold
"persistent sadness, fatigue, insomnia",Depression
"shortness of breath, headache, nosebleeds",Hypertension
"sensitivity to light, sensitivity to sound, headache, nausea",Migraine
"cough, mucus, shortness of breath, slight fever",Bronchitis
"fatigue, fever, weight loss, night sweats",Tuberculosis
"fever, weight loss, fatigue, night sweats",Tuberculosis
"cough, mild fever, runny nose, sore throat, congestion",Common Cold
"nausea, headache, chills, fever, vomiting",Malaria
"nosebleeds, headache, dizziness",Hypertension
"runny nose, sneezing, sore throat",Common Cold
"rash, sneezing, itchy eyes, congestion, runny nose",Allergy
"loss of appetite, itching, fever",Chickenpox
"fatigue, shortness of breath, chest pain, fever, cough",Pneumonia
"restlessness, sweating, increased heart rate, difficulty concentrating",Anxiety
"cough, fatigue, fever, chest pain, shortness of breath",Pneumonia
"headache, sensitivity to light, nausea, vomiting",Migraine
"weight loss, coughing, fatigue, fever, night sweats",Tuberculosis
"headache, fever, chills, nausea",Malaria
"fever, dry cough, loss of smell, difficulty breathing",COVID-19
"sensitivity to sound, vomiting, headache, sensitivity to light, nausea",Migraine
"fatigue, slight fever, mucus, shortness of breath",Bronchitis
"mucus, shortness of breath, cough, fatigue, slight fever",Bronchitis
"sneezing, rash, congestion, runny nose",Allergy
"sensitivity to sound, vomiting, headache",Migraine
"shortness of breath, chest tightness, wheezing, coughing",Asthma
"fatigue, persistent sadness, changes in appetite, insomnia",Depression
"vomiting, sweating, nausea",Malaria
"dizziness, headache, shortness of breath",Hypertension
"loss of interest, insomnia, changes in appetite, fatigue",Depression
"changes in appetite, insomnia, persistent sadness, loss of interest",Depression
"rash, itchy eyes, congestion",Allergy
"headache, nausea, sensitivity to sound, vomiting",Migraine
"chills, sweating, fever, vomiting",Malaria
"restlessness, nervousness, increased heart rate",Anxiety
"weight loss, fever, coughing, fatigue, night sweats",Tuberculosis
"fatigue, night sweats, fever",Tuberculosis
"fever, rash, loss of appetite, fatigue",Chickenpox
"fatigue, mucus, cough, slight fever, shortness of breath",Bronchitis
"congestion, cough, runny nose, sore throat, mild fever, sneezing",Common Cold
"loss of interest, fatigue, persistent sadness, changes in appetite",Depression
"sensitivity to light, headache, vomiting, sensitivity to sound",Migraine
"rash, congestion, sneezing, itchy eyes, runny nose",Allergy
"sneezing, runny nose, congestion, cough, mild fever, sore throat",Common Cold
"rash, itching, fatigue, loss of appetite, fever",Chickenpox
"sensitivity to sound, sensitivity to light, nausea, headache",Migraine
"insomnia, fatigue, persistent sadness, changes in appetite",Depression
"fatigue, shortness of breath, chest pain",Pneumonia
"headache, nausea, sensitivity to light, vomiting",Migraine
"shortness of breath, coughing, wheezing",Asthma
"headache, dizziness, shortness of breath, nosebleeds",Hypertension
"nosebleeds, shortness of breath, headache, dizziness",Hypertension
"tiredness, fever, loss of taste, loss of smell, difficulty breathing, dry cough",COVID-19
"mild fever, congestion, cough, runny nose, sore throat, sneezing",Common Cold
"sweating, headache, fever, chills, nausea",Malaria
"headache, chills, nausea, sweating, fever",Malaria
"sneezing, congestion, sore throat, runny nose, cough",Common Cold
"shortness of breath, fatigue, chest pain",Pneumonia
"dizziness, headache, nosebleeds, shortness of breath",Hypertension
"fatigue, loss of interest, persistent sadness, insomnia, changes in appetite",Depression
"fever, nausea, headache, chills, vomiting, sweating",Malaria
"wheezing, coughing, chest tightness",Asthma
"dry cough, fever, loss of smell, loss of taste",COVID-19
"fatigue, itching, loss of appetite, rash, fever",Chickenpox
"itching, fever, rash, fatigue",Chickenpox
"difficulty breathing, fever, dry cough, loss of smell, loss of taste",COVID-19
"chest tightness, wheezing, shortness of breath",Asthma
"headache, sensitivity to light, vomiting, nausea",Migraine
"congestion, sneezing, rash, itchy eyes",Allergy
"fever, night sweats, coughing",Tuberculosis
"headache, shortness of breath, dizziness",Hypertension
"chest tightness, wheezing, shortness of breath, coughing",Asthma
"increased thirst, fatigue, blurred vision",Diabetes
"blurred vision, fatigue, frequent urination",Diabetes
"headache, chills, sweating",Malaria
"wheezing, chest tightness, shortness of breath, coughing",Asthma
"increased heart rate, restlessness, nervousness",Anxiety
"fatigue, slight fever, shortness of breath, cough",Bronchitis
"fever, fatigue, shortness of breath",Pneumonia
"chest pain, fatigue, cough, shortness of breath",Pneumonia
"headache, nausea, sensitivity to sound, sensitivity to light",Migraine
"loss of taste, fever, tiredness",COVID-19
"chest tightness, shortness of breath, wheezing, coughing",Asthma
"increased heart rate, difficulty concentrating, nervousness",Anxiety
"insomnia, changes in appetite, fatigue",Depression
"chest tightness, shortness of breath, wheezing, coughing",Asthma
"nausea, fever, sweating, vomiting, chills, headache",Malaria
"shortness of breath, mucus, slight fever, cough",Bronchitis
"cough, shortness of breath, slight fever, mucus",Bronchitis
"fatigue, coughing, night sweats, fever, weight loss",Tuberculosis
"insomnia, persistent sadness, changes in appetite, fatigue, loss of interest",Depression
"fever, fatigue, coughing, weight loss, night sweats",Tuberculosis
"dizziness, shortness of breath, headache, nosebleeds",Hypertension
"shortness of breath, coughing, wheezing, chest tightness",Asthma
"nausea, sensitivity to sound, sensitivity to light",Migraine
"coughing, wheezing, shortness of breath, chest tightness",Asthma
"increased heart rate, sweating, restlessness",Anxiety
"rash, itching, fatigue",Chickenpox
"night sweats, coughing, fever, weight loss, fatigue",Tuberculosis
"fever, coughing, night sweats",Tuberculosis
"fever, fatigue, shortness of breath, cough, chest pain",Pneumonia
"shortness of breath, wheezing, chest tightness",Asthma
"fever, night sweats, weight loss, fatigue",Tuberculosis
"increased heart rate, nervousness, sweating",Anxiety
"mucus, slight fever, fatigue, cough",Bronchitis
"fever, chest pain, fatigue, cough",Pneumonia
"chills, sweating, headache, fever",Malaria
"loss of taste, difficulty breathing, fever, tiredness, dry cough",COVID-19
"loss of smell, difficulty breathing, loss of taste, fever, dry cough, tiredness",COVID-19
"sensitivity to sound, nausea, sensitivity to light, vomiting",Migraine
"fever, itching, rash, loss of appetite",Chickenpox
"persistent sadness, fatigue, insomnia, changes in appetite",Depression
"vomiting, headache, sensitivity to light, sensitivity to sound",Migraine
"shortness of breath, fatigue, slight fever, cough, mucus",Bronchitis
"dizziness, shortness of breath, nosebleeds",Hypertension
"difficulty concentrating, restlessness, increased heart rate, sweating, nervousness",Anxiety
"dry cough, fever, difficulty breathing",COVID-19
"sweating, restlessness, increased heart rate, difficulty concentrating, nervousness",Anxiety
"restlessness, difficulty concentrating, sweating, increased heart rate, nervousness",Anxiety
"itchy eyes, sneezing, runny nose",Allergy
"nervousness, restlessness, sweating, increased heart rate",Anxiety
"sore throat, mild fever, runny nose, sneezing",Common Cold
"insomnia, loss of interest, changes in appetite, fatigue",Depression
"coughing, weight loss, fever, fatigue",Tuberculosis
"dizziness, headache, nosebleeds, shortness of breath",Hypertension
"sensitivity to light, headache, nausea, vomiting",Migraine
"fatigue, rash, itching, fever",Chickenpox
"increased thirst, frequent urination, fatigue, weight loss, blurred vision",Diabetes
"wheezing, coughing, shortness of breath",Asthma
"chest tightness, wheezing, coughing",Asthma
"fever, cough, shortness of breath, fatigue",Pneumonia
"congestion, rash, sneezing, itchy eyes, runny nose",Allergy
"fatigue, cough, shortness of breath, slight fever",Bronchitis
"persistent sadness, insomnia, fatigue, changes in appetite, loss of interest",Depression
"coughing, chest tightness, shortness of breath",Asthma
"fatigue, shortness of breath, mucus, slight fever",Bronchitis
"cough, mucus, slight fever, fatigue",Bronchitis
"coughing, wheezing, shortness of breath, chest tightness",Asthma
"vomiting, sensitivity to sound, nausea, headache",Migraine
"headache, cough, fever, chills, muscle aches",Flu
"fever, night sweats, coughing, weight loss",Tuberculosis
"sore throat, cough, sneezing, runny nose, congestion, mild fever",Common Cold
"fatigue, changes in appetite, loss of interest, insomnia",Depression
"fever, headache, chills, cough, muscle aches",Flu
"dizziness, shortness of breath, nosebleeds",Hypertension
"sneezing, congestion, runny nose, rash",Allergy
"shortness of breath, dizziness, headache",Hypertension
"rash, runny nose, congestion, sneezing, itchy eyes",Allergy
"fever, loss of appetite, fatigue, itching, rash",Chickenpox
"sensitivity to light, headache, sensitivity to sound, vomiting, nausea",Migraine
"fever, chills, sweating, nausea, vomiting",Malaria
"chest pain, shortness of breath, fatigue, cough, fever",Pneumonia
"cough, slight fever, fatigue, shortness of breath",Bronchitis
"itching, loss of appetite, rash, fever, fatigue",Chickenpox
"shortness of breath, fatigue, slight fever",Bronchitis
"cough, shortness of breath, chest pain, fever, fatigue",Pneumonia
"rash, runny nose, itchy eyes",Allergy
"fever, chills, vomiting, sweating",Malaria
"congestion, cough, sore throat, mild fever, runny nose",Common Cold
"fever, headache, chills, vomiting, sweating",Malaria
"shortness of breath, fatigue, fever, chest pain",Pneumonia
"nosebleeds, headache, dizziness",Hypertension
"fatigue, changes in appetite, loss of interest, insomnia",Depression
"slight fever, mucus, shortness of breath",Bronchitis
"cough, mucus, shortness of breath, slight fever",Bronchitis
"mild fever, sneezing, runny nose, cough",Common Cold
"insomnia, persistent sadness, loss of interest, changes in appetite, fatigue",Depression
"fever, weight loss, coughing",Tuberculosis
"blurred vision, fatigue, weight loss, increased thirst, frequent urination",Diabetes
"headache, dizziness, nosebleeds, shortness of breath",Hypertension
"cough, fever, fatigue, muscle aches, chills",Flu
"tiredness, difficulty breathing, dry cough, fever, loss of smell, loss of taste",COVID-19
"restlessness, sweating, nervousness, difficulty concentrating, increased heart rate",Anxiety
"shortness of breath, cough, slight fever, mucus, fatigue",Bronchitis
"sweating, difficulty concentrating, restlessness, increased heart rate",Anxiety
"nausea, sensitivity to light, headache, sensitivity to sound, vomiting",Migraine
"headache, chills, fever",Flu
"weight loss, fatigue, fever, night sweats, coughing",Tuberculosis
"fatigue, fever, weight loss",Tuberculosis
"nausea, sensitivity to sound, vomiting, headache",Migraine
"sneezing, runny nose, congestion, itchy eyes",Allergy
"persistent sadness, fatigue, loss of interest, insomnia",Depression
"tiredness, fever, difficulty breathing, dry cough",COVID-19
"chest pain, fever, cough, shortness of breath",Pneumonia
"cough, shortness of breath, slight fever",Bronchitis
"persistent sadness, changes in appetite, fatigue, insomnia, loss of interest",Depression
"nosebleeds, shortness of breath, dizziness, headache",Hypertension
"increased thirst, frequent urination, blurred vision, weight loss, fatigue",Diabetes
"fatigue, weight loss, frequent urination",Diabetes
"chills, vomiting, fever, headache",Malaria
"rash, itching, loss of appetite, fatigue",Chickenpox
"slight fever, shortness of breath, cough",Bronchitis
"runny nose, sneezing, rash",Allergy
"dizziness, shortness of breath, headache, nosebleeds",Hypertension
"itchy eyes, congestion, sneezing, runny nose",Allergy
"cough, mucus, slight fever",Bronchitis
"shortness of breath, coughing, chest tightness, wheezing",Asthma
"dizziness, shortness of breath, nosebleeds",Hypertension
"mucus, cough, slight fever, shortness of breath, fatigue",Bronchitis
"chills, fatigue, cough, headache",Flu
"night sweats, fever, coughing, fatigue",Tuberculosis
"fever, fatigue, cough, shortness of breath",Pneumonia
"nervousness, sweating, restlessness, increased heart rate",Anxiety
"slight fever, fatigue, shortness of breath, mucus",Bronchitis
"weight loss, fatigue, blurred vision, frequent urination, increased thirst",Diabetes
"restlessness, nervousness, sweating, increased heart rate, difficulty concentrating",Anxiety
"headache, vomiting, sweating, nausea, chills",Malaria
"fever, loss of taste, dry cough, tiredness",COVID-19
"fatigue, mucus, shortness of breath",Bronchitis
"slight fever, cough, fatigue, mucus",Bronchitis
"rash, fatigue, fever, loss of appetite, itching",Chickenpox
"loss of smell, fever, tiredness, loss of taste",COVID-19
"difficulty concentrating, nervousness, restlessness",Anxiety
"blurred vision, weight loss, frequent urination, fatigue, increased thirst",Diabetes
"insomnia, loss of interest, persistent sadness, changes in appetite",Depression
"wheezing, shortness of breath, coughing, chest tightness",Asthma
"sneezing, congestion, runny nose, itchy eyes, rash",Allergy
"congestion, rash, sneezing, itchy eyes",Allergy
"congestion, mild fever, sore throat, sneezing, cough",Common Cold
"nausea, sensitivity to sound, headache, vomiting",Migraine
"sneezing, itchy eyes, runny nose",Allergy
"increased heart rate, difficulty concentrating, nervousness, sweating",Anxiety
"shortness of breath, cough, fatigue, fever, chest pain",Pneumonia
"itching, loss of appetite, fever, fatigue",Chickenpox
"muscle aches, headache, fever, chills, cough",Flu
"loss of smell, loss of taste, difficulty breathing, tiredness",COVID-19
"changes in appetite, loss of interest, insomnia, persistent sadness",Depression
"sensitivity to light, headache, nausea, vomiting, sensitivity to sound",Migraine
"chills, cough, fatigue, headache, muscle aches, fever",Flu
"cough, fever, chills, muscle aches, headache, fatigue",Flu
"insomnia, persistent sadness, loss of interest, fatigue",Depression
"sensitivity to light, vomiting, nausea",Migraine
"vomiting, fever, chills, headache, nausea, sweating",Malaria
"chest pain, fever, shortness of breath, fatigue, cough",Pneumonia
"changes in appetite, fatigue, loss of interest, insomnia",Depression
"increased thirst, fatigue, frequent urination, blurred vision",Diabetes
"nervousness, difficulty concentrating, increased heart rate, restlessness",Anxiety
"increased heart rate, sweating, difficulty concentrating",Anxiety
"congestion, runny nose, itchy eyes",Allergy
"slight fever, mucus, cough, shortness of breath, fatigue",Bronchitis
"mucus, shortness of breath, cough, slight fever, fatigue",Bronchitis
"cough, sore throat, mild fever, congestion, sneezing",Common Cold
"cough, shortness of breath, slight fever, mucus",Bronchitis
"sneezing, runny nose, congestion, rash, itchy eyes",Allergy
"mild fever, sore throat, congestion, sneezing",Common Cold
"congestion, sneezing, runny nose",Allergy
"dizziness, nosebleeds, shortness of breath, headache",Hypertension
"vomiting, nausea, sensitivity to sound, sensitivity to light, headache",Migraine
"rash, congestion, sneezing, runny nose, itchy eyes",Allergy
"vomiting, nausea, sensitivity to light, sensitivity to sound",Migraine
"fever, loss of smell, loss of taste, tiredness",COVID-19
"sensitivity to sound, nausea, headache, sensitivity to light, vomiting",Migraine
"cough, sneezing, sore throat, runny nose, congestion",Common Cold
"cough, fever, shortness of breath",Pneumonia
"shortness of breath, nosebleeds, dizziness, headache",Hypertension
"fatigue, fever, muscle aches, headache",Flu
"dizziness, headache, nosebleeds",Hypertension
"vomiting, headache, sensitivity to sound, nausea",Migraine
"nausea, vomiting, sweating, chills",Malaria
"night sweats, fatigue, coughing, weight loss",Tuberculosis
"sensitivity to sound, sensitivity to light, headache, vomiting, nausea",Migraine
"fever, rash, fatigue",Chickenpox
"cough, muscle aches, chills",Flu
"chest tightness, wheezing, coughing, shortness of breath",Asthma
"increased heart rate, restlessness, sweating, difficulty concentrating",Anxiety
"sneezing, congestion, sore throat",Common Cold
"sweating, difficulty concentrating, restlessness",Anxiety
"fatigue, shortness of breath, chest pain",Pneumonia
"cough, chills, fever, headache, muscle aches, fatigue",Flu
"runny nose, itchy eyes, sneezing",Allergy
"cough, headache, chills",Flu
"loss of interest, fatigue, insomnia, persistent sadness, changes in appetite",Depression
"blurred vision, fatigue, weight loss, increased thirst, frequent urination",Diabetes
"runny nose, congestion, rash, itchy eyes, sneezing",Allergy
"runny nose, sneezing, rash, itchy eyes",Allergy
"restlessness, difficulty concentrating, nervousness",Anxiety
"insomnia, fatigue, persistent sadness, loss of interest, changes in appetite",Depression
"difficulty breathing, fever, loss of smell, loss of taste, dry cough",COVID-19
"sneezing, runny nose, itchy eyes",Allergy
"cough, fatigue, shortness of breath, mucus",Bronchitis
"muscle aches, fever, chills, fatigue",Flu
"fatigue, frequent urination, blurred vision, increased thirst, weight loss",Diabetes
"headache, shortness of breath, nosebleeds, dizziness",Hypertension
"sneezing, rash, congestion, runny nose, itchy eyes",Allergy
"night sweats, fatigue, fever, coughing, weight loss",Tuberculosis
"weight loss, coughing, fever, fatigue",Tuberculosis
"cough, chest pain, fatigue, fever",Pneumonia
"chills, headache, vomiting, fever, sweating",Malaria
"slight fever, cough, mucus, shortness of breath",Bronchitis
"sweating, vomiting, chills, nausea, headache",Malaria
"loss of appetite, rash, fever, fatigue",Chickenpox
"tiredness, loss of taste, difficulty breathing",COVID-19
"insomnia, fatigue, changes in appetite, loss of interest, persistent sadness",Depression
"shortness of breath, wheezing, chest tightness",Asthma
"headache, sensitivity to sound, nausea, sensitivity to light, vomiting",Migraine
"itchy eyes, runny nose, sneezing",Allergy
"difficulty breathing, dry cough, tiredness, loss of smell",COVID-19
"shortness of breath, wheezing, coughing, chest tightness",Asthma
"congestion, cough, sneezing, runny nose",Common Cold
"vomiting, chills, sweating",Malaria
"sneezing, congestion, rash",Allergy
"frequent urination, increased thirst, weight loss, blurred vision, fatigue",Diabetes
"cough, chest pain, fatigue, fever",Pneumonia
"sweating, increased heart rate, difficulty concentrating",Anxiety
"nausea, headache, vomiting, fever",Malaria
"mucus, cough, fatigue",Bronchitis
"loss of smell, difficulty breathing, tiredness",COVID-19
"fever, chills, nausea, sweating, vomiting, headache",Malaria
"sore throat, mild fever, sneezing, congestion",Common Cold
"wheezing, chest tightness, coughing, shortness of breath",Asthma
"itchy eyes, sneezing, rash, congestion, runny nose",Allergy
"shortness of breath, cough, fatigue, slight fever, mucus",Bronchitis
"mild fever, congestion, cough",Common Cold
"increased thirst, weight loss, fatigue, frequent urination, blurred vision",Diabetes
"wheezing, shortness of breath, chest tightness",Asthma
"sensitivity to sound, vomiting, headache, nausea",Migraine
"chills, sweating, nausea, vomiting, headache",Malaria
"runny nose, sore throat, congestion",Common Cold
"runny nose, sore throat, congestion, mild fever",Common Cold
"loss of smell, fever, difficulty breathing, tiredness",COVID-19
"runny nose, congestion, sneezing",Allergy
"fever, headache, cough",Flu
"increased heart rate, nervousness, difficulty concentrating, restlessness",Anxiety
"insomnia, changes in appetite, persistent sadness, loss of interest, fatigue",Depression
"fatigue, shortness of breath, slight fever, cough, mucus",Bronchitis
"coughing, chest tightness, shortness of breath, wheezing",Asthma
"shortness of breath, nosebleeds, dizziness, headache",Hypertension
"nosebleeds, headache, shortness of breath",Hypertension
"loss of appetite, itching, rash, fatigue, fever",Chickenpox
"fatigue, frequent urination, blurred vision, increased thirst",Diabetes
"shortness of breath, headache, nosebleeds, dizziness",Hypertension
"sneezing, mild fever, runny nose, sore throat, cough",Common Cold
"loss of taste, loss of smell, dry cough, difficulty breathing",COVID-19
"coughing, shortness of breath, chest tightness",Asthma
"chills, fever, headache",Malaria
"itchy eyes, rash, runny nose, sneezing",Allergy
"shortness of breath, fatigue, cough, chest pain, fever",Pneumonia
"runny nose, mild fever, cough",Common Cold
"fever, fatigue, cough, chills, headache",Flu
"fever, sweating, headache",Malaria
"cough, muscle aches, chills, fever",Flu
"fatigue, headache, muscle aches, cough",Flu
"cough, fever, fatigue, headache, muscle aches",Flu
"weight loss, coughing, fatigue, night sweats, fever",Tuberculosis
"rash, itching, fever",Chickenpox
"night sweats, fatigue, weight loss",Tuberculosis
"congestion, cough, sore throat, runny nose, sneezing, mild fever",Common Cold
"shortness of breath, wheezing, coughing",Asthma
"dry cough, loss of taste, tiredness, difficulty breathing, loss of smell",COVID-19
"wheezing, shortness of breath, coughing, chest tightness",Asthma
"fever, cough, fatigue",Pneumonia
"wheezing, coughing, chest tightness, shortness of breath",Asthma
"fatigue, coughing, weight loss",Tuberculosis
"fever, chills, sweating, nausea, headache",Malaria
"shortness of breath, wheezing, chest tightness, coughing",Asthma
"loss of taste, dry cough, difficulty breathing, fever, loss of smell",COVID-19
"fatigue, mucus, slight fever, shortness of breath",Bronchitis
"sneezing, itchy eyes, congestion, runny nose, rash",Allergy
"fatigue, weight loss, blurred vision, increased thirst",Diabetes
"nervousness, sweating, difficulty concentrating",Anxiety
"fatigue, chest pain, fever",Pneumonia
"nosebleeds, dizziness, shortness of breath",Hypertension
"sweating, vomiting, chills, headache, fever",Malaria
"increased thirst, frequent urination, blurred vision",Diabetes
"fever, vomiting, chills, sweating, headache, nausea",Malaria
"chills, fever, sweating",Malaria
"dizziness, shortness of breath, headache, nosebleeds",Hypertension
"cough, sore throat, congestion, sneezing, mild fever",Common Cold
"shortness of breath, fatigue, fever, cough, chest pain",Pneumonia
"weight loss, blurred vision, frequent urination, fatigue",Diabetes
"loss of taste, fever, difficulty breathing, dry cough, tiredness, loss of smell",COVID-19
"difficulty breathing, loss of taste, loss of smell, dry cough",COVID-19
"nausea, vomiting, sensitivity to light",Migraine
"loss of interest, changes in appetite, persistent sadness, fatigue",Depression
"headache, nosebleeds, dizziness, shortness of breath",Hypertension
"vomiting, nausea, sensitivity to light, sensitivity to sound, headache",Migraine
"changes in appetite, persistent sadness, fatigue, loss of interest, insomnia",Depression
"persistent sadness, changes in appetite, insomnia, fatigue, loss of interest",Depression
"slight fever, fatigue, shortness of breath, cough",Bronchitis
"difficulty breathing, loss of taste, dry cough, fever, loss of smell, tiredness",COVID-19
"sensitivity to sound, sensitivity to light, headache, nausea, vomiting",Migraine
"shortness of breath, dizziness, headache, nosebleeds",Hypertension
"fatigue, mucus, shortness of breath, slight fever",Bronchitis
"loss of interest, insomnia, changes in appetite, persistent sadness",Depression
"chest pain, shortness of breath, cough, fever, fatigue",Pneumonia
"vomiting, nausea, sensitivity to light",Migraine
"difficulty breathing, fever, loss of smell, dry cough, loss of taste, tiredness",COVID-19
"fever, chills, headache, muscle aches, fatigue, cough",Flu
"congestion, mild fever, cough, sore throat",Common Cold
"cough, runny nose, congestion, mild fever, sore throat, sneezing",Common Cold
"nosebleeds, headache, shortness of breath",Hypertension
"shortness of breath, mucus, slight fever",Bronchitis
"itching, rash, fatigue",Chickenpox
"chest pain, cough, shortness of breath",Pneumonia
"fatigue, frequent urination, weight loss, blurred vision",Diabetes
"nervousness, restlessness, increased heart rate, difficulty concentrating",Anxiety
"cough, sore throat, congestion, mild fever",Common Cold
"shortness of breath, dizziness, headache",Hypertension
"fatigue, blurred vision, frequent urination, weight loss, increased thirst",Diabetes
"nervousness, sweating, difficulty concentrating, increased heart rate",Anxiety
"congestion, runny nose, mild fever, sore throat, cough",Common Cold
"chills, sweating, fever",Malaria
"chills, nausea, fever, headache, sweating, vomiting",Malaria
"shortness of breath, mucus, slight fever",Bronchitis
"headache, nausea, sensitivity to sound, sensitivity to light",Migraine
"cough, mild fever, congestion, runny nose, sore throat",Common Cold
"changes in appetite, fatigue, insomnia",Depression
"nervousness, increased heart rate, restlessness, sweating, difficulty concentrating",Anxiety
"shortness of breath, coughing, chest tightness, wheezing",Asthma
"fatigue, muscle aches, cough",Flu
"itching, rash, fatigue, loss of appetite",Chickenpox
"persistent sadness, insomnia, changes in appetite, fatigue, loss of interest",Depression
"runny nose, mild fever, congestion, sneezing",Common Cold
"chest tightness, shortness of breath, wheezing, coughing",Asthma
"tiredness, fever, dry cough, difficulty breathing",COVID-19
"sensitivity to light, vomiting, headache",Migraine
"dizziness, shortness of breath, headache, nosebleeds",Hypertension
"coughing, fatigue, fever, night sweats",Tuberculosis
"cough, fatigue, chills, headache",Flu
"runny nose, sneezing, sore throat, mild fever, cough",Common Cold
"shortness of breath, fever, chest pain",Pneumonia
"fatigue, mucus, cough",Bronchitis
"itchy eyes, runny nose, sneezing, congestion",Allergy
"vomiting, sweating, fever",Malaria
"mild fever, congestion, cough, runny nose, sneezing",Common Cold
"weight loss, fatigue, coughing",Tuberculosis
"fatigue, cough, shortness of breath, slight fever",Bronchitis
"headache, nosebleeds, dizziness, shortness of breath",Hypertension
"shortness of breath, fatigue, cough, mucus, slight fever",Bronchitis
"sensitivity to light, headache, nausea, sensitivity to sound",Migraine
"rash, sneezing, runny nose",Allergy
"loss of taste, fever, tiredness",COVID-19
"fever, tiredness, loss of smell, dry cough, loss of taste, difficulty breathing",COVID-19
"congestion, mild fever, sneezing, sore throat",Common Cold
"coughing, weight loss, night sweats",Tuberculosis
"nausea, headache, sensitivity to light",Migraine
"congestion, cough, sore throat, runny nose, sneezing",Common Cold
"mild fever, congestion, sore throat, runny nose",Common Cold
"sneezing, congestion, itchy eyes",Allergy
"congestion, itchy eyes, rash",Allergy
"chest tightness, wheezing, coughing, shortness of breath",Asthma
"shortness of breath, wheezing, chest tightness, coughing",Asthma
"mild fever, sneezing, sore throat, cough, runny nose, congestion",Common Cold
